,textID,text,selected_text,sentiment
21683,b68cee516f,is not having a good day... I havent had a good week forreal!!,is not having a good day... I havent had a good week forreal!!,negative
21686,43778d1d23, i know... I don't want to be left in our home by myself during the weekend...,. I don't want to be left in our home by myself,negative
21691,3da251fc87,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,hurts!!,negative
21693,befa0ac78c,-was just told by Dan to NOT say anything anymore...  -now im super sad =(,sad,negative
21702,8ddcbd222a,time for me to go to bed. Am very tired. catch up with you all in a couple of days when I land &amp; recover from flying to Denmark,Am very tired.,negative
21703,1b51db3fbd," I know man, my day off and am pulling myself out of bed","I know man, my day off and am pulling myself out of bed",negative
21709,1e8a00169a,"gotta buy the second season of  ghost whisperer now, but noo moneyy",but noo moneyy,negative
21711,1f29eb7a49,i can't seem to access Restuarant City due to some internet / javascript problem...,i can't seem to access,negative
21719,ebc23e4250,"Arrggghhh...dang post office.  Did not get the package in yet, may have to wait until tomorrow",dang,negative
21720,6c796fad21,on my way to work! working sucks big time,working sucks bi,negative
21729,0f8f76fc11,was gonna go to my brothers show but still feeling like poo :**(,poo,negative
21734,8a60ee86bc," lol, we are staying in, Craig got footy, so Molly and me missing all the good weather, we have no buggy either.","missing all the good weather,",negative
21735,e2feb989e5,editting **** on here in school is a drag. i give up lol ill do it at home. i wanna go home T-T my vida is so boring right now,boring,negative
21739,d83fd6c942,3 tweeets {:    FGS tweekdeckkk hates me  -cryyyy,kk hates me  -cryy,negative
21740,b15c4f6298, He's totally ignoring me!! How sad!  I am heartbroken,How sad!  I am heartbroken,negative
21741,254546cd2c," What's sad is that I actually had to google that term. That sucks, tho.","That sucks, tho.",negative
21742,dcf1e95b1c, Sad  nothing.,Sad,negative
21746,da2d47bb01," Ten hours ago, I was was sleeping, sorry.",sorry.,negative
21750,b16551c9ab,In the bus... Almost an hour late because of my crappy alarm clock  should be in Leeuwarden at about 9:45,Almost an hour late because of my crappy alarm clock,negative
21756,e381609148, dont depress me  I have the mother-in-law staying the weekend. Someone else to wait on other than the kids!,depress,negative
21758,f364919d1b,Did not feel like getting up,Did not feel like getting up,negative
21760,a3125b3dc1,HES BACK!!!!! OH NOES!!!! have you missed me?  Work has been insane and the band has really taken off so i haven't had a moment to myself,insane,negative
21761,03cb3c01b6,"at work.. missing my miami fam , , , carolina, , ,  &amp;&amp;&amp; more",missing,negative
21778,180753cc4e,gotta go twitterers (?) my stupid sister wants to go on facebook  oging to montreal 2morrow so i wont be on for a while! bye!! XoXox &lt;33,stupid,negative
21785,865ed306cb,Follow Friday is a bit hard to do when my work kicks in on Fridays,hard,negative
21791,ff2b2811d5,I think the rain killed my phone,killed,negative
21792,562468489e,Man waking up sucks when u have to go to work like 30 min later,sucks,negative
21793,b28a10ed09, hey Bow when yu comin baxx 2 thaa 614 we miss yu hun  ...614 all day!!,we miss yu,negative
21794,8d8badcbe8,Isnt looking forward to going back to work. 3 days off isnt long enough,Isnt looking forward to going back to work. 3 days off isnt long enough,negative
21796,39d72e4fc8, not impressed....! it might go away if you complain too much!  x,not impressed..,negative
21802,1ca52945d1,Missing you all deeply,Missing you all deeply,negative
21809,e74e47df4c,I Wish i was still in Cornwall - i miss my auntie's dogs,i miss my auntie's dogs,negative
21811,0b31c01ce9,  I kinda want to smack that darn skeleton though.,a want to smack,negative
21817,cb4ca6a513," Need a tickettttt  Gah. Ya you've got me on there, reason346.. Haven't listened to dear Elliott for a few weeks...overdue..",..overdue,negative
21818,0abda8c9fe,waiting to go to the movies later for my 6th month. booored.,booored.,negative
21829,7a21335f47,Wonders if I'm d only 1 dat n church sumtime nt knowng certain sungs. Seems like erbdy knows it but u? Quickly feel bad cnt sing along .,bad,negative
21830,b9c6bd594d,"It's so hard to keep up with everything! There's the whole coldplaying, twitter, facebook and not to talk about real life... Impossible.",so hard,negative
21831,d7eff05eb3," Ooooh, I'm jealous  I might try and get some for the saturday but I have an exam on the monday that Im gonna fail",t I have an exam on the monday that Im gonna fail,negative
21833,c7d44a0dcc,It is 00:03 I'm Wrecked  I'M Hungry &amp; I have to get up early. Not the perfect Fri night LOL night,rly. Not the perfect Fri ni,negative
21841,5da55949f3, I'm bummed...you're gonna be only 30 minutes from me on Sunday &amp; I can't come hear ya.,I'm bummed.,negative
21846,4d8abcb232,They took my property,They took my property,negative
21848,30f8aeecfe,I'm quite afraid to string now since I don't have any .024 wire use,afraid,negative
21853,411916d697,sitting in the car with my cat. he keeps meowing and i feel so bad,bad,negative
21861,804efc7f73, i'm having a hard time using hulu  have u heard of anyone having problems that uses windows vista?,hard,negative
21865,4aefb48484, She should keep her crown and shut her mouth!   Then she'll know what non-judgmental means!,shut,negative
21870,4e58188e4d,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!",Im deeply sorry,negative
21885,466a36d52e,It's Hollie spelt with an 'ie' not a y!! She made me cry on BGT tonight  Gxx,cry,negative
21890,39348df004,but this little boy still makin me  work during the storm!!!,but this little boy still makin me  work during the storm!!!,negative
21891,a168d9d822, ugh... I know the economy is depressing...,economy is depressing...,negative
21893,e409c6bca9,Shower head broke while i was in the shower and shot straight @ my head.may get a welt later on from it,shot straight,negative
21894,12456985b1,At work sick  but I'm ok to the mall!,At work sick,negative
21895,a715428566," My #followillfriday sucks because while I was teaching people how to be nice, you **** were drooling over Notion",sucks,negative
21898,2f72905dbd,Its 1:11am and both my girls are still up! .. im so tired ..,im so tired,negative
21902,9dd04e1a9f,Its so sad,Its so sad,negative
21904,26b75c35a9," shame I dont still have my 286 compaq portable, which was really anything but portable LMAO, last tweet 4 now, toodle pip",shame,negative
21912,daa3843c18,OMG The LG KC910 touchscreen fone is such a pile of shite!! Roll on new contract in 18 months,pile of shite!!,negative
21914,cd4eb265e2,Ugh - car got stolen sometime between yesterday evening and this morning when husband was due to go to work  Like we can afford this???,Like we can afford this???,negative
21918,3c9cd969e3,i miss dooooooodddddiiiieeee,miss,negative
21921,68b4a7a2ac,_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,crappy ms,negative
21923,5f44c39180, Shiraz event was in an 'anti-bahai' center.not in a mosque or in election campaign.Sadly children wr involved in zahedan,.Sadly,negative
21929,ec66683c9f,Flap-a-taco was nice until the plebs came in.,Flap-a-taco was nice until the plebs came in.,negative
21933,a8c2579b73,Celebrating the fact that Norwich City got relegated yesterday.  Seems like myself and the awfully nice Mr Fry are football rivals!,awfully,negative
21938,0bcf2dd6d1, That's for sure. That's why I intentionally turn my thought processes to the silly,silly,negative
21939,f9f80cbb90,Why can't I make a phone call! I hate this anxiety ****. Someone cure me,anxiety,negative
21941,22f2a72954,I sure do wish my mind could enter that box called &quot;nothing&quot; that men have.  My brain just won't go there... and it's exhausting.,. and it's,negative
21945,13d1cd323a,my back hurts  have a heating pad on it... stupid ladder y did you have to collapse and make me fall on my back/bum???,stupid ladder y did you have to collapse and make me fall on my back/bum???,negative
21947,17e119548f,My new car is already giving me problems  That cant be a good sign.,problems,negative
21949,5eb0e374b2, lame,lame,negative
21952,1b28b66cf5, your right. im so jealous i wish i had gangsterrrr pants like your grandma,im so jealous,negative
21953,c920cb41b5,_pax goddamn   that **** sucks *hugs*,that **** sucks,negative
21957,53578e9244,STOMACH ACHE!!! Ahhhhhh,ACHE!!,negative
21959,0fb0ddcc61,at f***** work  .... want somebody to come ???,f***** work,negative
21961,7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we're have to fly Ryanair to Billund and drive up to Copenhagen one of the days!","Unfortunatley,",negative
21962,97f97f920a, miss u m8   we NEED tae have a catch up n that,miss u m8,negative
21964,a8b73cf5d5,Screw you guys and your prom pictures,Screw you guys,negative
21971,c567514034,  hahaha well its try its so ugly,s so ugly,negative
21976,c55acd7f61,Ughhhh...mad as ppl make me some times...I don't like 2 have 2 do yucky thngs  I am NOT cut out 2 deal w HR stuf...ppl's tears kill me!,Ughhhh...mad as ppl make me some times...I don't like 2 have 2 do yucky thngs  I am NOT cut out 2 deal w HR stuf...ppl's tears kill me!,negative
21985,913c91b0de,"off to go buy more deck sleeves and 3X3 card pages.  Man, those pages are expensive!   Stupid organizing collection.",those pages are expensive!   Stupid organizing collection,negative
21986,2e306c8902,i am so bored.,bored.,negative
21990,ecc496d1fb, dude you didn't even say bye,you didn't even say bye,negative
21991,2dc08562e1,Just woke up from a five hour nap. I still have a headache.  Medication time!,headache.,negative
21997,09c7871cad,"chillin on break eatin some grub. pretty burnt out had an eventful day. wanting to go to the movies with Ian, not happening though.",pretty burnt,negative
21998,40cf184b99, stinks  what do you do anyway?,stinks,negative
22001,06e8fa9196, I think I'd be like Phoebe's mom on friends - Stop the movie before the sad part.,sad,negative
22002,6df2b65239,"In French trois, nobody is sitting next to me. I feel a little lonely...",I feel a little lonely...,negative
22003,eb3c1f7bcd,my deep fry drumsticks were not as good as i thought they would be,not as good,negative
22004,8a24c189a8,Is leaving Utah today  Super Sad Face,Super Sad Face,negative
22007,4ff027de24,"Walking the puppies downtown. Also, mystery of missing cat solved: he hid himself in the basement for nearly two days.",missing,negative
22010,3afcddc07d,"****, got Chili Beans on my shirt  I hate that I can be a messy eater. Such a lady!",I hate that I can be a messy eater.,negative
22012,3c066cba4a,VEGA UNDER FIREEEEEE,VEGA UNDER FIREEEEEE,negative
22021,282a6b5807,My tongue still hurts.  I need to sleep!!!,hurts.,negative
22022,51e724b717,Geography papers are so boring!  I hate revision!,hate,negative
22025,855ed0764e," hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",Too bad,negative
22028,a795e7a064,is sad to go to work cuz it's TermiNeda's last day...and little monkey's last day too,sad,negative
22030,ff57dd985c,Oh no! I just read they are going to do a remake of Girls Just Wanna Have Fun   Stop it hollywood-just stop!,Oh no!,negative
22033,51ba52288a,*sigh* Last day at work. I has an sadifying in my heartparts.,sadifying,negative
22035,8f8eda32cb,_Da_Realest hehe hell. I'm finna qet to drankin DAMNIT.,DAMNIT.,negative
22041,71e80290b3,_Foster Still not working,Still not working,negative
22043,ce1364effe, no fair,no fair,negative
22045,8ddbe8e99b,I must have just missed   &amp; I guess I scared  &amp; _TX off...  Sorry,ess I sc,negative
22051,bb5bc0bf04,"6:29 pm - ok, let's go now through #bowman #strategicClock but first.. a break :-0 aargh.. tired",tired,negative
22054,aca204a50d,Is anyone else having a bad Friday? Is not a fun day today.,not a fun day,negative
22062,c6e4ffbf79,Sadly I am bprohibiting myself from tweeting tonight. Sorry,Sorry,negative
22063,d57619cff1,i need to write really bad. can someone go get my diary from my flat for me,bad.,negative
22065,fb27459f65," Feel your pain with the hayfever - forgot to take mine yesterday, again.",forgot,negative
22068,d96af8cec8,Crazy debt issue. Maybe I had messed up when closing my old account? Not really sure but looks like I may have to cover it - aaargh...,Crazy debt issue.,negative
22069,672f87886f,the sun burned me today....my arms look angry  Party tonight tho babes! woop!,sun burned me,negative
22071,b5766f00f1, dude i tried!! it wouldn't load!,it wouldn't load!,negative
22091,81479b3df0,We're practicing our blackjack skills. It doesn't look hopeful.  http://yfrog.com/0l2tsj,It doesn't look hopeful.,negative
22093,13b663e38d,did crossfit running today...agitated my right leg,agitated,negative
22094,413125e9eb, dude fail.  i know exactly where this place is too,fail.,negative
22099,150b86e19b,Well thats that then. Exam failed and bsc gone,failed,negative
22101,ad0ea71d75, oh darn i'm not in london,darn,negative
22102,6f97fd63aa,It's teddy chucking time,chucking,negative
22105,18f60b8879, but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,wack.,negative
22107,98059dcc12,". No sun  but I can see the ocean now..I almost ran over a squirrel driving home from the store, was so foggy! Where r you?",ran over,negative
22114,1be7769340,my arms hurt!,my arms hurt!,negative
22117,3aa1123af3, my computer is being stupid and wont let me vote  . if i could i would vote for u.,my computer is being stupid and wont let me vote  . if i could i would vote for u.,negative
22120,63328aeb58,My brother just woke me up to help him with his homework. I'm not happy,I'm not happy,negative
22126,2385a6b7ea,missing Tim!,missing Tim!,negative
22138,a0e9dc9475,Seeing people today made me realize I really miss someone. But I also miss my grandpa he's been gone 17 years  oh! but my moms mamagra ...,miss my,negative
22140,765bdc0267, the worst kind of news,the worst kind of news,negative
22142,e19a478d4e,massive headache. argh,massive headache. argh,negative
22148,76dbf5ffbd,"Home from Jack's now, can't say I'm too happy about that either",can't say I'm too happy,negative
22150,8f74c4f71c, that sucks!!,sucks!,negative
22153,42bfc2c86f,"is disappointed to learn Newark, OH cancelled their july 4 fireworks due to the economy",disappointed,negative
22164,45399ec130,Ouch just burned myself making soup for nico...,Ouch just burned myself making soup for nico...,negative
22166,b565d92d2c, OMG.  I'm so sorry! Anything I can do to help?,o sorry!,negative
22167,b1c2b4b9d5,Oh no  I wanted to go to sea but today the sun is not here!  SIGH!,today the sun is not here!,negative
22168,291e485b3b,going down the post office to try and sort this whole ebay hacker thing,whole ebay hacker th,negative
22171,7a7228dc2e, Still jealous,Still jealous,negative
22174,b4e7391d34,"&quot;Isn't she lovely? Isn't she beautiful?&quot; Sorry Stevie, you're not really in a position to make that judgement  #steviewonder","y Stevie, you're not really in a position to make that ju",negative
22182,8124cc62e4,i hate that feeling you get when you listen to a song and it completely reminds you of how things used to be &amp; you get emotional,i hate that feeling you get when you listen to a song and it completely reminds you of how things used to be &amp; you get emotion,negative
22186,f734ddb5b0,I'm in French and we don't have a teacher.  One hour left til school ends.,we don't have a teacher.,negative
22193,c988aca31e, its so sad how dead it is.,dead,negative
22202,68c06541ce,Bored and lonely at work,Bored and lonely at work,negative
22203,ae01b6389d, Not even better than Kapsel cha  Dy nulis notes? Spertinya gw ga ditag cuz g ada notificationnya... Huhu.,Not even better,negative
22204,f145992965, I am definitely ready... actually ahead of you... I already have a sun tan and I was out at the beach yesterday.,tan,negative
22209,e5f3e8c238, I ALWAYS miss out! I wont be able to commence in the foolishness til' the fall  But come fall I'll be visiting!! YAY!!,miss,negative
22211,7b7f18512a, they just said she was very elusive; should be tricky,elusive;,negative
22213,2cefffcad4,listening to 's Without Your Love...hes so tortured in that song...makes me sad,sad,negative
22219,3f3c87afb8,Oww. Can't even describe how much my back hurts. Going to have to go to the stupid doctor.,stupid,negative
22230,1140507348,"http://twitpic.com/67jq9 - i'm really missing this place  my grandparents are living there, on the calm country! but im coming to them ...",missing,negative
22235,ebc1bb84e5,"yay for nice weather, boo for cici not being here this weekend","yay for nice weather, boo for cici no",negative
22237,9be30ea62e,Ahh I'm so confused  what can I do? I don't wanna run away but can I really handle a real relationship? What is love anyways.. False hope!,False hope!,negative
22240,e4ad1b35d2, july... too long,july... too long,negative
22241,b7c3e1798e, then i kill Bradies gf and have Bradie,kill,negative
22244,3e775363a1,  We can't even call you from belgium  sucks,m  suck,negative
22246,ebf3cd9c1e,Just finished reading Chuck Palahniuk's &quot;Pygmy&quot; and kind of hated it. I'm really disappointed; I had pretty high hopes for this one.,hated it. I'm really disappointed; I had pretty high hopes for,negative
22249,582cbc5dcb,is MySpace mobile free? or do u have 2 have credit... cause they are liers,cause they are liers,negative
22251,6e635037e1, revising as uni exams are looming,e looming,negative
22253,db7dfbc482,Feeling sick at stomach today,Feeling sick at stomach today,negative
22254,30d0cf4ef4,Grrr! My internet will be up and running next Wed  at least now I have a def. Answer!,Grrr!,negative
22257,194141225a,_Dew tokens haven't been working for me all day....,haven't been working for me all day....,negative
22267,bd0450f89b,my skin is burning up so much,burning,negative
22269,10b5f7786a," I wish I was! well, for the past hour I have been. But before that I was in bed. Proper migraine!",migraine!,negative
22275,d2eeeccabc,is sad that today is her last day in san diego,is sad,negative
22276,5457cc8444,How I wish I wish I did not eat that....burger.,How I wish I wish I did not eat that....burger.,negative
22282,e5610b321d," dude, i didn't know it was a personal experience. sorry something like that went down",sorry,negative
22289,e0d84ed819,my new picture won't upload!!!,my new picture won't upload!!!,negative
22291,1f4753b36f, i hope so. i really need one! we'll see. unfortunately drama always finds me.,unfortunately,negative
22293,9782804e9a,stuck in huge traffic jam,stuck,negative
22297,dad0c9a456,So much to tell-Only blip is her immune system hasn't recovered-not yet a newborns. Give it 6 more months.  But that's nothing.,hasn't recovered-n,negative
22299,8227ec1d10,Feet hurt...finally in bed...will not forget this crunch when it's over...very very productive day today though,hurt..,negative
22301,4e1fc4b289," 'erocka the ruler' i called you, but i see i gets the no love   whats up with that?",i see i gets the no love   whats up with that,negative
22304,7f392f9c06,The time is not my friend today,The time is not my friend today,negative
22312,a2b498f846,UGH I missed the POTUS @ MY Five Guys!!!! 2 blocks from my house and 3 blocks from my job.  http://www.politico.com/politico44/,missed,negative
22317,378f2ee0a2,"I had a realization today, and it made me sad  But at least the healing can begin.",it made me sad,negative
22323,4af4380faa,"Dad just said that our trip to UK is cancelled, due to da swine flu. Ooops! Sorry abang.",Ooops! Sorry,negative
22327,c78383dabe,im really sleepy and i want to go to bed...but its upstairs and its a mess and i know im gonna have to clean it  nooooo,mess,negative
22329,3f49b9bb73,"for all the effort and time put into some of these relationships with people, you learn enough not to trust anyone...",you learn enough not to trust anyone...,negative
22336,14c0bf2334, My iPod headphones have gone kaput.  Wanted to buy new ones. Should I buy some Bose instead then? Do they work with Apple?,kaput.,negative
22337,6206f94eda," blue skies? where, it's still grey and hazy out of my window",l grey and hazy,negative
22338,1323765761,Feeling pretty tired and lonely,Feeling pretty tired and lonely,negative
22347,e533dc15ce,Phew long day and i havent gotten to work yet,Phew long day,negative
22348,b06ffbc598,AHHHH! Cant find anything because I have way too much open,AHHHH! Cant find anything because I have way too much open,negative
22350,98e72d7f06,Speedbumps suck when u gotta piss!!,suck,negative
22351,ee267131b1,ok... twitter I almost pass out because of you!! ****    :'(,****,negative
22356,5d1db9f665," ouch! I can't even look at that one, just knowing it exists it enough for me",ouch!,negative
22360,533790770a," well you MY man, you and your truck are 900 too many miles away!!",too many miles away!,negative
22365,8854c0c135, soooo over ppl telling me they went to the tonite show!!!  Ive had dreams of meeting him  I'm embarrassd of that a lil LOL,'m embarrass,negative
22367,1196796bc1,Pissed at you   http://myloc.me/21CU,Pissed at you,negative
22371,83388c9647, I'm afraid your comments on MP's expenses were hopelessly out of touch with the average person average salary. V.insensitive,I'm afraid your comments on MP's expenses were hopelessly out of touch with the average person average salary. V.insensitive,negative
22378,6a53d92882," I don't understand anything, HELP",HELP,negative
22384,c6b493560a,waaaaay over all tht bitchy ninth grade **** (: half yearly exams over &amp; im sickkk,mp; im sick,negative
22385,03fde76ca1,...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!,! I Think I Re-Ripped something !!! Yeah THAT !!,negative
22386,9922d8a567,"plan may changes , nooooooo",nooooooo,negative
22387,37051dddd9, awwwwww i wish her to be safe while shes gone n hugs to u must of been hard to say goodbye,hard to say goodbye,negative
22394,eb7eb7b5d2,"y do i even bother getting a new fone..i just **** break them anyway,,,fones dont float,,especially when thrown in the pool",**** break th,negative
22395,cae4719603,Finally sunny days and I'm too sick to go outside and play.,I'm too sick to go outside,negative
22408,88ffc626ce, My right ear's been blocked up today  bit like when you've got water in it. Any idea's 2 clear it? don't like putting liquid in,My right ear's been blocked up today  bit like when you've got water in it. Any idea's 2 clear it? don't like putting liquid in,negative
22412,57a6bee5cd,_richards sorry to be the bearer of bad news.,bad news.,negative
22415,bb7e9074d3,super bored on a friday night,super bored,negative
22416,fc864fd415,rah rah. youtube isn't working again. oh great,youtube isn't working again. oh great,negative
22418,d921c7e00e," Heh, aye. I should have investigated properly first before asking  Does seem like it's not the most obvious thing though.",e it's not the most obvious thing though,negative
22420,dede63b336," Yes, I'm the only stupid girl of my kind!!",stupid,negative
22426,ffce24e081, Oh No! Oprah jumped in front again,Oh No!,negative
22428,800700f62c,"is wondering what actually to do, when I have a week to do **** all bar pack, most peeps r leavin too",****,negative
22430,703ac31c4c,i dont feel good! sick to my stomach,sick,negative
22432,770f50c71c,my little booboo is sick,my little booboo is sick,negative
22434,c52a05ad6c,O dnt even like wearing  my skinny jean no more cuz of yall **** **** ni99as...,yall **** **** ni99as...,negative
22435,77c0dc0317," Been there, done that!!  Ew!!",Ew!!,negative
22442,c345916798, awwww  nsty when ppl make fun of someone &amp;  laugh their asses off; when the see ur not laughing that shoud be a HINT! Wrong,nsty,negative
22444,c4c731f0bc,OMFG my favourite jerk chicken place closed,OMFG,negative
22448,9f3be484af,roughnight,roughnight,negative
22450,e8c940f9e3,  its awful. Xxxx,its awful,negative
22451,eee8feb6d5,"Well, at least it's not as bad as I thought. Found a new website to watch movies on and I gotta say.......it's not bad, not bad at all","bad,",negative
22457,f416e179c8,8 month old African grey parrot  sad sale - Reptile Forums UK http://bit.ly/grrdA,sad,negative
22458,337caa7680,Have you ever realized you never fully have everything you want?  feelin' down.,feelin' down.,negative
22462,b548335809,Sunburned on my face &amp; legs. Fixing to be my arms tooo.,Sunburned on my face &amp; le,negative
22469,1fd6118e78,i'm worried because something bad happened today and i don't know what's gonna happen next.,i'm worried,negative
22479,73fa7068a2," Yep, finished, chocked full of spelling and grammatical errors, but I'm cleaning it up tomorrow and popping it up  hehe",chocked,negative
22481,b73bd70b63,bored well its not like any one can see this i havent got any friends,bored,negative
22485,99d787d063,ScREW MY PHONE. ITS BROKEN. DONT BOTHER TEXTING.,ScREW,negative
22495,519a7cc840,binstruct suffers from an update of the mib package... and the developer of that package is on holidays,suffers,negative
22501,acfad4374f," what about Midge? She definitely has to be in on that tie for first. She's completely dumb  and yeah, punk'd indeed",completely dumb,negative
22510,dc2249ed7e,"Finishing the video. **** me, it's so long","**** me,",negative
22517,f6de3a1120,this is a horrible day.,this is a horrible day.,negative
22518,04898b63de,my tv is so boring,boring,negative
22522,d69e2171d5,fo shizzle. . . i'm bored and wanna go do something.  wish i went to pisay today. oh wellz. wonder who were there.,i'm bored,negative
22523,2cd25bd667,Allergies suck ducks nuts.     &lt;=====8=====&gt;,Allergies suck,negative
22526,4bf221814c, Snap. I'm the same with any reality show. Watch the first and I'm hooked   Very sad,Very sa,negative
22527,b86bd3fe25,blast from the mofo'ing past. NTS why must you suck so badly at school?,badly,negative
22528,8bddc66769,I'm bored at work,I'm bored at work,negative
22529,55e507edf7,im tweeting... this is so hard... i dont get it...,so hard..,negative
22532,8fb818e875,anyone else having a problem accessing their account info on the istore?  i cant buy music and cant look at my account,problem,negative
22536,392da4eca7, I'm here!... Jdubb is @ his funky job...I guess.. We're neglected,neglected,negative
22538,fdf80accf3, my knee is hurting so bad im limping...so we get to suffer through work together,my knee is hurting so bad,negative
22539,3616a43c66," I know how you feel. My head is getting stuffier and stuffier, and it is not fun.",not fun.,negative
22551,1c21fc2a7c,*moment of silence* for the Budget i'm bout to b on  I spend wayyy to much $$$.... OMG! I'm on a Budget?!?!,*moment of silence*,negative
22552,295ec1c7e8,i hate the bus...any donations toward my car fund?,i hate the bus..,negative
22556,ebf499e929,**** typical. GH:M arrives just as I leave for work. It's going to be a long day,****,negative
22560,8c96618bee,"Oh noes, Not Your Average Joes in Lexington is closing!  Sad",Sad,negative
22564,fa12c4c56a,is really sad about her nephew  but keeping busy sorting out items for BWM! http://bit.ly/N9tsM,sad,negative
22568,32ffcb07c4,"My Street Fighter IV skills are lacking, can't beat Seth on easy.","lacking,",negative
22573,5eabb3139b,Two dozen roses sent  overnight and delivered this morning. Just found out the recipient is out of town!! Sad,Sad,negative
22575,a11f6acdc4, and I have to wait till January. Life is not fair!,Life is not fair!,negative
22577,8bf982f686,hand hurts,hand hurts,negative
22579,49ef633bd1,The city officially smells like dead fish,smells like dead fish,negative
22581,ff61a3e751,"It's the weekend, its sunny..... and I got another puncture!!!",puncture!!,negative
22583,4a8224c204,Not happy got a big choice to make,Not happy got a big choice to make,negative
22586,0e7ed1c470,Just broke her dresser shes had since she was three,broke,negative
22591,d4c83cb69b," i just went to find that unity girl on bebo, i cant find her! i fail at bebo stalking",fail,negative
22594,d10467dde7," yes! fb, ah i miss you",miss,negative
22595,254ea17a84,dont get to see my boys tomorroww.im sad,im sad,negative
22597,2e63787399,Was supposeddd to hang out with al but her mommy wont let her  now what to dooo? Blah. Hahaha,but her mommy wont let her  now,negative
22598,3592d43e3d,Moving makes me sore.  Dunno if we are gonna make it!   Its getting close!,Moving makes me sore.,negative
22599,5ee1af15b2,how bad has life gotten where u  werecounting on the church50\50 raffle? the answer is real bad,real bad,negative
22613,d188052326, so jealous,jealous,negative
22620,50cc7ee04b,Dang my own LDBF didnt give me a Follow Friday shot out,Dang,negative
22622,7359af6ab7, aw. wasn't it sad?! give ginger a little pat on the head for me!  mwah!,aw. wasn't it sad?!,negative
22625,1c66a422b6,So bored in chem n im super hungry! Ugh,So bored in chem n im super hungry! Ugh,negative
22629,bd5405bb27,...And omg whats this dirty letter from Danny everyones been on about? Its absolutely none of my business but I still feel left out lol,feel left out lo,negative
22630,b1e85f0ea7,I hate thunder and lightning!,hate,negative
22631,8375414682," still a bit of a warning signal in my head saying: &quot;you want yesterday's headache back? ok, get yourself a coffee then, quick!&quot;",still a bit of a warning signal in my head,negative
22637,7c26a466b6,hi guys just doing da usael notmuch really! &lt;3 sad me,t;3 sad,negative
22638,0a5e46a73e,Puzzled by people's mood swings... it makes me somewhat sad that I can't pinpoint  how  they feel,sad,negative
22643,b0fc59f0dd,Have $#@&amp;!!! Malware on my work PC!  I miss having an IT dept,PC!  I miss having an IT,negative
22645,cb3268ba79,worried about Mr. Socks tonight.,worried,negative
22646,9063631ab1,Funeral ceremony...gloomy friday...,gloomy,negative
22650,898410ba40,Waiting for Natie to come online I miss him.,I miss him.,negative
22656,c06e5c4fac," Ok that's not true! Plus, you're insulting me saying that I'm insulting you! I've been trying to cheer you up. Butï¿½nadaï¿½","Ok that's not true! Plus, you're insulting me saying that I'm insulting you! I've been trying to cheer you up.",negative
22658,11822e055c,"i feel like i'm quarantined everywhere i go... pinkeye, go away already!","i feel like i'm quarantined everywhere i go... pinkeye, go away already!",negative
22659,c25871ec9e," Not going to dwell on it. It happened, it's passed. Just a shame as he was so supportive! Such is life!  x",shame,negative
22660,08afec628c," i'm not at chaseton's either  please don't die, my heart will be really sad",y sad,negative
22665,ad1caa156a,also just hanging right now?? just bored hahaha didn't have to work again today this is different....  no hours no money lol whatev,bored,negative
22671,ba5402b5ce,Ordered a new computer! Unfortunately it won't get here until the end of June.,Unfortunately,negative
22673,47e950b292, I can't work out if you're into diesel or rice burners.,I can't work,negative
22676,57aa8a7678,"my camera's being a doucheeee, it stopped working",stopped,negative
22680,b3a07eb482,"Dad: &quot;No trips to Lahore for you.&quot; Me: &quot;I do live in DC &amp; NYC which also = big targets.&quot; Bummer, no Pizza Hut chicken tikka pizza for me",so = big,negative
22681,1cafbadd63, you suck,you suck,negative
22683,14ec30ea31,  missing jmichelle... told you treat me like a step child! smh,missing,negative
22686,8056b0deba, OMG I just spit my drink out! RIP hair straightener!!,I just spit my drink out!,negative
22693,92cf8fa3d1, sorry love had no left overs  but come through sat @ mi casa for ton's birthday! we'll have tons of food,sorry,negative
22695,7f5116e5a1,", totally worth it!! great movie cool 3D glasses! i miss ya! and i miss   and i miss new york too",i miss ya!,negative
22696,e6ba90afab,listening through the Mendeed discog once again. I still think their disbanding is a loss.  #metal,I still think their disbanding is a loss.,negative
22698,ec1c0bed85, miss you,miss,negative
22703,b76a815c23, can we trade weather? it's all gloomy today in la.,gloomy,negative
22712,9afdbae4f5, Maaan if I was in pain I'd come. I wanna come  eat some 4 me lol *rolls eyes*,was in pain,negative
22716,5187b0c54e, Are you guys gonna get the metal detector from the Brickmans? I saw Chad ask Davey on FB. Sorry 'bout your ring,Sorry,negative
22720,109c3ddb5f, When oh when are you coming back for a gig in Scotland? I had tickets to see u last year but was in hosp wit gallstones!,but was in hosp,negative
